Ubuntu 18.04.1 LTS
g++ 9.2.1 with -O3
Intel Core i9-9900 @ 3.1GHz, single threaded

Operation	result_nvals	opt3.0_runtime_usec	seq3.0_runtime_usec	seq2.0.2_runtime_usec
C<M,replace> := A'+.*B'     	44830	25097	23843	1.04987e+10
C<M,merge> := C + A'+.*B'   	44830	23587	26141	1.09838e+10
C<M,replace> := C + A'+.*B' 	44830	25392	23062	1.0811e+10
C<!M,merge> := A'+.*B'      	413601	28242	355720	1.03199e+10
C<!M,replace> := A'+.*B'    	368771	27294	308354	1.03032e+10
C<!M,merge> := C + A'+.*B'  	368771	32252	379830	1.09707e+10
C<!M,replace> := C + A'+.*B'	368771	29390	317011	1.09911e+10
C<s(M),merge> := A'+.*B'       	413601	26210	26248	
C<s(M),replace> := A'+.*B'     	44830	24262	23398	
C<s(M),merge> := C + A'+.*B'   	44830	23213	24272	
C<s(M),replace> := C + A'+.*B' 	44830	25317	24151	
C<!s(M),merge> := A'+.*B'      	413601	29118	328156	
C<!s(M),replace> := A'+.*B'    	368771	26089	290723	
C<!s(M),merge> := C + A'+.*B'  	368771	30463	363853	
C<!s(M),replace> := C + A'+.*B'	368771	28793	288954	

Operation	result_nvals	3.0_runtime_usec	seq2.0.2_runtime_usec	checksum

IMPLEMENTATION: A*u
w := A+.*u                	3289	3386	5489	5104
w := w + A+.*u            	3289	3254	4952	10208
w<m,merge> := A+.*u       	3289	3181	7659	9460
w<m,replace> := A+.*u     	485	2912	5885	748
w<m,merge> := w + A+.*u   	485	3233	6104	1496
w<m,replace> := w + A+.*u 	485	3207	5383	2244
w<!m,merge> := A+.*u      	3289	3175	5993	6600
w<!m,replace> := A+.*u    	2804	3362	6944	4356
w<!m,merge> := w + A+.*u  	2804	3908	5040	8712
w<!m,replace> := w + A+.*u	2804	3086	5042	13068
w<s(m),replace> := A+.*u  	485	2992		748
w<s(m),merge> := w + A+.*u   	485	3444		1496
w<s(m),replace> := w + A+.*u 	485	2873		2244
w<!s(m),merge> := A+.*u      	3289	3259		6600
w<!s(m),replace> := A+.*u    	2804	3698		4356
w<!s(m),merge> := w + A+.*u  	2804	3168		8712
w<!s(m),replace> := w + A+.*u	2804	3513		13068

IMPLEMENTATION: A'*u
w := A'+.*u                	3289	1071	930946	5104
w := w + A'+.*u            	3289	1020	942266	10208
w<m,merge> := A'+.*u       	3289	1073	1.04539e+06	9460
w<m,replace> := A'+.*u      	485	1058	1.0503e+06	748
w<m,merge> := w + A'+.*u   	485	1055	1.13544e+06	1496
w<m,replace> := w + A'+.*u 	485	1051	1.12552e+06	2244
w<!m,merge> := A'+.*u      	3289	1161	1.02462e+06	6600
w<!m,replace> := A'+.*u    	2804	1114	1.02251e+06	4356
w<!m,merge> := w + A'+.*u  	2804	1147	1.11604e+06	8712
w<!m,replace> := w + A'+.*u	2804	1147	1.11864e+06	13068
w<s(m),merge> := A'+.*u       	3289	1255		13816
w<s(m),replace> := A+.*u      	485	1126		748
w<s(m),merge> := w + A'+.*u   	485	1091		1496
w<s(m),replace> := w + A'+.*u 	485	1125		2244
w<!s(m),merge> := A'+.*u      	3289	1134		6600
w<!s(m),replace> := A'+.*u    	2804	1141		4356
w<!s(m),merge> := w + A'+.*u  	2804	1218		8712
w<!s(m),replace> := w + A'+.*u	2804	1200		13068
Results PASSED

IMPLEMENTATION: u'*A
w' := u'+.*A                    	3289	1395	1.09945e+06	5104
w' := w' + u'+.*A               	3289	1343	948561	10208
w'<m',merge> := u'+.*A          	3289	1387	1.08011e+06	9460
w'<m',replace> := u'+.*A        	485	1438	1.06922e+06	748
w'<m',merge> := w' + u'+.*A     	485	1365	1.01722e+06	1496
w'<m',replace> := w' + u'+.*A   	485	1933	1.02241e+06	2244
w'<!m',merge> := u'+.*A         	3289	1875	1.05708e+06	6600
w'<!m',replace> := u'+.*A       	2804	1609	1.05496e+06	4356
w'<!m',merge> := w' + u'+.*A    	2804	1548	1.02734e+06	8712
w'<!m',replace> := w' + u'+.*A  	2804	1651	1.0334e+06	13068
w'<s(m'),merge> := u'+.*A       	3289	1417		13816
w'<s(m'),replace> := u'+.*A     	485	1397		748
w'<s(m'),merge> := w' + u'+.*A   	485	1416		1496
w'<s(m'),replace> := w' + u'+.*A 	485	1504		2244
w'<!s(m'),merge> := u'+.*A      	3289	1950		6600
w'<!s(m'),replace> := u'+.*A    	2804	1528		4356
w'<!s(m'),merge> := w' + u'+.*A  	2804	1488		8712
w'<!s(m'),replace> := w' + u'+.*A	2804	1492		13068

IMPLEMENTATION: u'*A'
w' := u'+.*A'                   	3289	3177	3184	5104
w' := w' + u'+.*A'              	3289	2998	3193	10208
w'<m',merge> := u'+.*A'         	3289	2878	2886	9460
w'<m',replace> := u'+.*A'       	485	2978	3084	748
w'<m',merge> := w' + u'+.*A'    	485	2792	3458	1496
w'<m',replace> := w' + u'+.*A'  	485	2884	2822	2244
w'<!m',merge> := u'+.*A'        	3289	2947	2940	6600
w'<!m',replace> := u'+.*A'      	2804	2900	3035	4356
w'<!m',merge> := w' + u'+.*A'   	2804	3296	3398	8712
w'<!m',replace> := w' + u'+.*A' 	2804	2953	3847	13068
w'<s(m'),merge> := u'+.*A'       	3289	2971		13816
w'<s(m'),replace> := u'+.*A'      	485	3068		748
w'<s(m'),merge> := w' + u'+.*A'   	485	3264		1496
w'<s(m'),replace> := w' + u'+.*A' 	485	2964		2244
w'<!s(m'),merge> := u'+.*A'      	3289	3177		6600
w'<!s(m'),replace> := u'+.*A'    	2804	3205		4356
w'<!s(m'),merge> := w' + u'+.*A'  	2804	3010		8712
w'<!s(m'),replace> := w' + u'+.*A'	2804	3266		13068

Operation	result_nvals	3.0_runtime_usec	seq2.0.2_runtime_usec	checksum

IMPLEMENTATION: A.*B
C := A.*B                	37656	1861	2856	37656
C := C + A.*B            	37656	1733	2287	75312
C<M,merge> := A.*B       	37656	34972	38833	69759
C<M,replace> := A.*B     	5553	27232	28687	5553
C<M,merge> := C + A.*B   	5553	30760	38819	11106
C<M,replace> := C + A.*B 	5553	26807	29299	16659
C<!M,merge> := A.*B      	37656	344391	483427	48762
C<!M,replace> := A.*B    	32103	312328	435168	32103
C<!M,merge> := C + A.*B  	32103	367121	491110	64206
C<!M,replace> := C + A.*B	32103	309113	436658	96309
C<s(M),merge> := A.*B    	37656	57994		101862
C<s(M),replace> := A.*B  	5553	44261		5553
C<s(M),merge> := C + A.*B   	5553	48590		11106
C<s(M),replace> := C + A.*B 	5553	61481		16659
C<!s(M),merge> := A.*B      	37656	345549		48762
C<!s(M),replace> := A.*B    	32103	287347		32103
C<!s(M),merge> := C + A.*B  	32103	350560		64206
C<!s(M),replace> := C + A.*B	32103	286933		96309

IMPLEMENTATION: A'*B
C := A'.*B                	37678	4895	978188	37678
C := C + A'.*B            	37678	4533	972740	75356
C<M,merge> := A'.*B       	37678	40180	1.0293e+06	69871
C<M,replace> := A.*B      	5485	31267	1.01838e+06	5485
C<M,merge> := C + A'.*B   	5485	35506	997943	10970
C<M,replace> := C + A'.*B 	5485	30744	1.00033e+06	16455
C<!M,merge> := A'.*B      	37678	344986	1.4846e+06	48648
C<!M,replace> := A'.*B    	32193	313091	1.45002e+06	32193
C<!M,merge> := C + A'.*B  	32193	370772	1.47911e+06	64386
C<!M,replace> := C + A'.*B	32193	312804	1.43596e+06	96579
C<s(M),merge> := A'.*B       	37678	59272		102064
C<s(M),replace> := A.*B      	5485	48640		5485
C<s(M),merge> := C + A'.*B   	5485	51755		10970
C<s(M),replace> := C + A'.*B 	5485	46890		16455
C<!s(M),merge> := A'.*B      	37678	327240		48648
C<!s(M),replace> := A'.*B    	32193	292907		32193
C<!s(M),merge> := C + A'.*B  	32193	348970		64386
C<!s(M),replace> := C + A'.*B	32193	289895		96579

IMPLEMENTATION: A*B'
C := A.*B'                	37678	4838	1.00625e+06	37678
C := C + A.*B'            	37678	4629	1.03707e+06	75356
C<M,merge> := A.*B'       	37678	39471	1.09814e+06	69770
C<M,replace> := A.*B'     	5586	32006	1.07943e+06	5586
C<M,merge> := C + A.*B'   	5586	34434	1.02308e+06	11172
C<M,replace> := C + A.*B' 	5586	31390	1.02341e+06	16758
C<!M,merge> := A.*B'      	37678	347821	1.4815e+06	48850
C<!M,replace> := A.*B'    	32092	313375	1.43834e+06	32092
C<!M,merge> := C + A.*B'  	32092	372205	1.49655e+06	64184
C<!M,replace> := C + A.*B'	32092	312803	1.45583e+06	96276
C<s(M),merge> := A.*B'       	37678	60061		101862
C<s(M),replace> := A.*B'     	5586	49840		5586
C<s(M),merge> := C + A.*B'   	5586	51848		11172
C<s(M),replace> := C + A.*B' 	5586	47276		16758
C<!s(M),merge> := A.*B'      	37678	324700		48850
C<!s(M),replace> := A.*B'    	32092	290714		32092
C<!s(M),merge> := C + A.*B'  	32092	350357		64184
C<!s(M),replace> := C + A.*B'	32092	291534		96276

IMPLEMENTATION: A'*B'
C := A'.*B'                	37656	2361	1.90801e+06	37656
C := C + A'.*B'            	37656	2124	1.90345e+06	75312
C<M,merge> := A'.*B'       	37656	35225	1.90978e+06	69754
C<M,replace> := A'.*B'     	5558	27634	1.88757e+06	5558
C<M,merge> := C + A'.*B'   	5558	31396	1.91595e+06	11116
C<M,replace> := C + A'.*B' 	5558	27161	1.91335e+06	16674
C<!M,merge> := A'.*B'      	37656	342344	2.34857e+06	48772
C<!M,replace> := A'.*B'    	32098	310123	2.30649e+06	32098
C<!M,merge> := C + A'.*B'  	32098	369931	2.33798e+06	64196
C<!M,replace> := C + A'.*B'	32098	310697	2.29018e+06	96294
C<s(M),merge> := A'.*B'       	37656	53507		101852
C<s(M),replace> := A'.*B'     	5558	45691		5558
C<s(M),merge> := C + A'.*B'   	5558	49552		11116
C<s(M),replace> := C + A'.*B' 	5558	44821		16674
C<!s(M),merge> := A'.*B'      	37656	322097		48772
C<!s(M),replace> := A'.*B'    	32098	287250		32098
C<!s(M),merge> := C + A'.*B'  	32098	349375		64196
C<!s(M),replace> := C + A'.*B'	32098	289946		96294

//===============================================

Ubuntu 18.04.1 LTS
g++ 9.4.0 with -g (DEBUG BUILD)
Intel Core i9-9900 @ 3.1GHz, single threaded

$ bin/mxv_timing_demo ../src/demo/triangle_count_data_ca-HepTh.tsv 

Read 51946 rows.
#Nodes = 9877
Running algorithm(s)... M.nvals = 1457
u.nvals = 942
OPTIMIZED IMPLEMENTATION: A*u
Function                      	min	avg	max	w.nvals	checksum
w := A+.*u                    	2569	2800.8	3203	3289	5104
w := w + A+.*u                	2607	2858.5	3754	3289	10208
w<m,merge> := A+.*u           	644	707	1048	3289	9460
w<m,replace> := A+.*u         	636	696.85	1043	485	748
w<m,merge> := w + A+.*u       	3047	3312.1	4138	485	1496
w<m,replace> := w + A+.*u     	3148	3658.9	5422	485	2244
w<!m,merge> := A+.*u          	2557	2959.45	3822	3289	6600
w<!m,replace> := A+.*u        	2447	2684.85	3332	2804	4356
w<!m,merge> := w + A+.*u      	3140	3486.2	4695	2804	8712
w<!m,replace> := w + A+.*u    	3118	3516.35	4571	2804	13068
w<s(m),merge> := A+.*u        	625	654.3	785	3289	13816
w<s(m),replace> := A+.*u      	608	679.15	910	485	748
w<s(m),merge> := w + A+.*u    	3073	3299.75	3709	485	1496
w<s(m),replace> := w + A+.*u  	3010	3308	3922	485	2244
w<!s(m),merge> := A+.*u       	2540	2876	3411	3289	6600
w<!s(m),replace> := A+.*u     	2438	2767.1	3711	2804	4356
w<!s(m),merge> := w + A+.*u   	3144	3462.35	4387	2804	8712
w<!s(m),replace> := w + A+.*u 	3100	3446.6	4310	2804	13068
OPTIMIZED IMPLEMENTATION: A'*u
w := A'+.*u                   	54678	56354.8	58751	3289	5104
w := w + A'+.*u               	54841	56129.4	59560	3289	10208
w<m,merge> := A'+.*u          	55423	58039.9	71614	3289	9460
w<m,replace> := A'+.*u        	54890	55791.6	59056	485	748
w<m,merge> := w + A'+.*u      	55153	56561.9	60851	485	1496
w<m,replace> := w + A'+.*u    	54815	57260.4	61406	485	2244
w<!m,merge> := A'+.*u         	58213	61049.6	64967	3289	6600
w<!m,replace> := A'+.*u       	57352	58461.9	62501	2804	4356
w<!m,merge> := w + A'+.*u     	57636	58424.8	59524	2804	8712
w<!m,replace> := w + A'+.*u   	57575	58623.4	63223	2804	13068
w<s(m),merge> := A'+.*u       	55371	56081.2	57595	3289	13816
w<s(m),replace> := A+.*u      	55405	55947.2	57163	485	748
w<s(m),merge> := w + A'+.*u   	55093	55922.7	57655	485	1496
w<s(m),replace> := w + A'+.*u 	55191	55899.4	57258	485	2244
w<!s(m),merge> := A'+.*u      	57484	58238.6	61081	3289	6600
w<!s(m),replace> := A'+.*u    	57147	58213.1	61082	2804	4356
w<!s(m),merge> := w + A'+.*u  	57609	58384.5	59870	2804	8712
w<!s(m),replace> := w + A'+.*u	57385	58397.3	60346	2804	13068
Results PASSED

//===============================================

Ubuntu 18.04.1 LTS
g++ 9.4.0 with -03 (RELEASE BUILD)
Intel Core i9-9900 @ 3.1GHz, single threaded

smcmillan@ubuntu ~/github/gbtl/build_sparse_dense (sparse_dense_dot) $ bin/mxv_timing_demo ../src/demo/triangle_count_data_ca-HepTh.tsv 
Read 51946 rows.
#Nodes = 9877
Running algorithm(s)... M.nvals = 1457
u.nvals = 942
OPTIMIZED IMPLEMENTATION: A*u
Function                      	min	avg	max	w.nvals	checksum
w := A+.*u                    	164	182.05	383	3289	5104
w := w + A+.*u                	164	241.05	619	3289	10208
w<m,merge> := A+.*u           	42	46.85	73	3289	9460
w<m,replace> := A+.*u         	45	52.55	156	485	748
w<m,merge> := w + A+.*u       	49	51.2	59	485	1496
w<m,replace> := w + A+.*u     	49	59.3	131	485	2244
w<!m,merge> := A+.*u          	160	181.6	353	3289	6600
w<!m,replace> := A+.*u        	159	211.55	359	2804	4356
w<!m,merge> := w + A+.*u      	172	196.1	325	2804	8712
w<!m,replace> := w + A+.*u    	173	187.75	307	2804	13068
w<s(m),merge> := A+.*u        	41	44.15	58	3289	13816
w<s(m),replace> := A+.*u      	45	50.25	106	485	748
w<s(m),merge> := w + A+.*u    	53	65	202	485	1496
w<s(m),replace> := w + A+.*u  	52	52.85	59	485	2244
w<!s(m),merge> := A+.*u       	159	195.7	321	3289	6600
w<!s(m),replace> := A+.*u     	157	168.35	274	2804	4356
w<!s(m),merge> := w + A+.*u   	173	189.9	310	2804	8712
w<!s(m),replace> := w + A+.*u 	174	197.55	411	2804	13068
OPTIMIZED IMPLEMENTATION: A'*u
w := A'+.*u                   	1009	1146.45	1716	3289	5104
w := w + A'+.*u               	1033	1219.8	2417	3289	10208
w<m,merge> := A'+.*u          	1071	1282.65	1807	3289	9460
w<m,replace> := A'+.*u        	1059	1281.85	2625	485	748
w<m,merge> := w + A'+.*u      	1061	1309.7	1909	485	1496
w<m,replace> := w + A'+.*u    	1057	1171.35	1506	485	2244
w<!m,merge> := A'+.*u         	1290	1900.2	2855	3289	6600
w<!m,replace> := A'+.*u       	1210	1455.6	2300	2804	4356
w<!m,merge> := w + A'+.*u     	1250	1462.3	1931	2804	8712
w<!m,replace> := w + A'+.*u   	1169	1371.7	2054	2804	13068
w<s(m),merge> := A'+.*u       	1106	1242.75	1654	3289	13816
w<s(m),replace> := A+.*u      	1095	1299.6	2065	485	748
w<s(m),merge> := w + A'+.*u   	1087	1182.2	1360	485	1496
w<s(m),replace> := w + A'+.*u 	1083	1219.45	1627	485	2244
w<!s(m),merge> := A'+.*u      	1119	1267.95	1899	3289	6600
w<!s(m),replace> := A'+.*u    	1118	1318.8	2000	2804	4356
w<!s(m),merge> := w + A'+.*u  	1159	1335.7	1768	2804	8712
w<!s(m),replace> := w + A'+.*u	1144	1278.3	2076	2804	13068
Results PASSED
